strain,sample,time,dose,gene_symbol,gene_expression
HW,HW8,384,0,Cxcr7,14.52521984
HW,HW8,384,0,Col18a1,944.1392893
HW,HW9,384,0,Ahrr,3.495225285
HW,HW9,384,0,Aldh3a1,4.369031606
HW,HW9,384,0,Bbs2,34.07844653
HW,HW9,384,0,Ccbl1,203.5968728
HW,HW9,384,0,Cxcr7,14.85470746
HW,HW9,384,0,Col18a1,1873.440753
HW,HW11,384,100,Ahrr,122.4675259
HW,HW11,384,100,Aldh3a1,18312.49711
HW,HW11,384,100,Bbs2,116.7043482
HW,HW11,384,100,Ccbl1,1174.247455
HW,HW11,384,100,Cxcr7,106.6187873
HW,HW11,384,100,Col18a1,1484.018256
HW,HW12,384,100,Ahrr,503.4512471
HW,HW12,384,100,Aldh3a1,8809.793167
HW,HW12,384,100,Bbs2,120.7317139
HW,HW12,384,100,Ccbl1,1884.622055
HW,HW12,384,100,Cxcr7,53.12195414
HW,HW12,384,100,Col18a1,1742.158632
HW,HW13,384,100,Ahrr,186.8658849
HW,HW13,384,100,Aldh3a1,21353.41093
HW,HW13,384,100,Bbs2,117.3343928
HW,HW13,384,100,Ccbl1,1071.943836
HW,HW13,384,100,Cxcr7,99.95151983
HW,HW13,384,100,Col18a1,1371.798395
HW,HW14,384,100,Ahrr,154.9011536
HW,HW14,384,100,Aldh3a1,23426.45249
HW,HW14,384,100,Bbs2,112.6553844
HW,HW14,384,100,Ccbl1,934.1008958
HW,HW14,384,100,Cxcr7,77.45057679
HW,HW14,384,100,Col18a1,1382.375446
LE,LE96,3,100,Ahrr,29.96214451
LE,LE96,3,100,Aldh3a1,1071.446288
LE,LE96,3,100,Bbs2,73.1076326
LE,LE96,3,100,Ccbl1,324.7896464
LE,LE96,3,100,Cxcr7,141.4213221
LE,LE96,3,100,Col18a1,877.2915911
LE,LE97,3,100,Ahrr,33.27978202
LE,LE97,3,100,Aldh3a1,4458.159599
LE,LE97,3,100,Bbs2,93.18338966
LE,LE97,3,100,Ccbl1,456.5986093
LE,LE97,3,100,Cxcr7,106.4953025
LE,LE97,3,100,Col18a1,957.1265309
LE,LE98,3,100,Ahrr,41.26134526
LE,LE98,3,100,Aldh3a1,3814.247299
LE,LE98,3,100,Bbs2,75.24127666
LE,LE98,3,100,Ccbl1,466.0104877
LE,LE98,3,100,Cxcr7,121.3568978
LE,LE98,3,100,Col18a1,993.9129932
LE,LE99,3,100,Ahrr,33.95767282
LE,LE99,3,100,Aldh3a1,2822.125166
LE,LE99,3,100,Bbs2,99.44747041
LE,LE99,3,100,Ccbl1,561.5143756
LE,LE99,3,100,Cxcr7,127.3412731
LE,LE99,3,100,Col18a1,1394.690134
LE,LE92,6,100,Ahrr,34.66358956
LE,LE92,6,100,Aldh3a1,5227.78284
LE,LE92,6,100,Bbs2,110.4099519
LE,LE92,6,100,Ccbl1,703.5424843
LE,LE92,6,100,Cxcr7,88.58472887
LE,LE92,6,100,Col18a1,1046.32687
LE,LE93,6,100,Ahrr,30.52521804
LE,LE93,6,100,Aldh3a1,4856.164035
LE,LE93,6,100,Bbs2,127.4096057
LE,LE93,6,100,Ccbl1,810.9090532
LE,LE93,6,100,Cxcr7,82.28537037
LE,LE93,6,100,Col18a1,1199.773787
LE,LE94,6,100,Ahrr,57.38675616
LE,LE94,6,100,Aldh3a1,4730.5299
LE,LE94,6,100,Bbs2,144.2423871
LE,LE94,6,100,Ccbl1,992.6357823
LE,LE94,6,100,Cxcr7,145.7933805
LE,LE94,6,100,Col18a1,1324.548372
LE,LE95,6,100,Ahrr,36.78633882
LE,LE95,6,100,Aldh3a1,5355.378939
LE,LE95,6,100,Bbs2,128.1588578
LE,LE95,6,100,Ccbl1,634.8610087
LE,LE95,6,100,Cxcr7,60.51946065
LE,LE95,6,100,Col18a1,841.3391686
