strain,sample,time,dose,GENE_SYMBOL,gene_expression
HW,WW15,19,0.1,Cyp1a1,14269.63871
HW,WW15,19,0.1,Cyp1a2,124164.1679
HW,WW15,19,0.1,Cyp1b1,7.004240303
HW,WW16,19,0.1,Ahrr,13.85053525
HW,WW16,19,0.1,Aldh3a1,39.57295786
HW,WW16,19,0.1,Bbs2,47.48754943
HW,WW16,19,0.1,Ccbl1,176.0996625
HW,WW16,19,0.1,Cxcr7,33.63701418
HW,WW16,19,0.1,Col18a1,819.1602276
HW,WW16,19,0.1,Cyb5a,27627.86053
HW,WW16,19,0.1,Cyp1a1,10244.44947
HW,WW16,19,0.1,Cyp1a2,94434.92798
HW,WW16,19,0.1,Cyp1b1,10.88256341
HW,WW17,19,1,Ahrr,33.41682865
HW,WW17,19,1,Aldh3a1,755.7344325
HW,WW17,19,1,Bbs2,88.68312218
HW,WW17,19,1,Ccbl1,476.8324395
HW,WW17,19,1,Cxcr7,32.13156601
HW,WW17,19,1,Col18a1,1188.867942
HW,WW17,19,1,Cyb5a,39361.16836
HW,WW17,19,1,Cyp1a1,75780.37053
HW,WW17,19,1,Cyp1a2,389957.6819
HW,WW17,19,1,Cyp1b1,34.70209129
HW,WW18,19,1,Ahrr,31.38789558
HW,WW18,19,1,Aldh3a1,491.7436974
HW,WW18,19,1,Bbs2,102.3012893
HW,WW18,19,1,Ccbl1,466.1683751
HW,WW18,19,1,Cxcr7,30.22538093
HW,WW18,19,1,Col18a1,943.9618967
HW,WW18,19,1,Cyb5a,42408.53447
HW,WW18,19,1,Cyp1a1,70346.08657
HW,WW18,19,1,Cyp1a2,385098.0909
HW,WW18,19,1,Cyp1b1,62.77579116
HW,WW19,19,1,Ahrr,27.62564998
HW,WW19,19,1,Aldh3a1,489.7274315
HW,WW19,19,1,Bbs2,99.20119766
HW,WW19,19,1,Ccbl1,522.3759269
HW,WW19,19,1,Cxcr7,25.11422726
HW,WW19,19,1,Col18a1,1220.551445
HW,WW19,19,1,Cyb5a,39209.5873
HW,WW19,19,1,Cyp1a1,73898.6137
HW,WW19,19,1,Cyp1a2,431291.6475
HW,WW19,19,1,Cyp1b1,23.85851589
HW,WW20,19,1,Ahrr,22.427872
HW,WW20,19,1,Aldh3a1,368.4578971
HW,WW20,19,1,Bbs2,91.31347884
HW,WW20,19,1,Ccbl1,371.6618788
HW,WW20,19,1,Cxcr7,11.213936
HW,WW20,19,1,Col18a1,845.8511724
HW,WW20,19,1,Cyb5a,32672.60353
HW,WW20,19,1,Cyp1a1,55102.07751
HW,WW20,19,1,Cyp1a2,280064.8476
HW,WW20,19,1,Cyp1b1,19.22389028
HW,WW21,19,10,Ahrr,32.99980096
HW,WW21,19,10,Aldh3a1,5050.28954
HW,WW21,19,10,Bbs2,117.4792914
HW,WW21,19,10,Ccbl1,630.9561944
HW,WW21,19,10,Cxcr7,31.67980893
HW,WW21,19,10,Col18a1,1151.033058
HW,WW21,19,10,Cyb5a,40221.47741
HW,WW21,19,10,Cyp1a1,80039.03725
HW,WW21,19,10,Cyp1a2,434297.1806
HW,WW21,19,10,Cyp1b1,263.9984077
HW,WW22,19,10,Ahrr,38.39528895
HW,WW22,19,10,Aldh3a1,6634.705931
HW,WW22,19,10,Bbs2,93.42853645
HW,WW22,19,10,Ccbl1,802.4615391
HW,WW22,19,10,Cxcr7,25.5968593
HW,WW22,19,10,Col18a1,1045.631702
HW,WW22,19,10,Cyb5a,38777.962
HW,WW22,19,10,Cyp1a1,85122.35561
HW,WW22,19,10,Cyp1a2,425652.733
HW,WW22,19,10,Cyp1b1,170.2191144
HW,WW23,19,10,Ahrr,44.68561618
HW,WW23,19,10,Aldh3a1,6369.296221
HW,WW23,19,10,Bbs2,111.7140405
HW,WW23,19,10,Ccbl1,726.141263
HW,WW23,19,10,Cxcr7,39.89787159
HW,WW23,19,10,Col18a1,1155.442361
HW,WW23,19,10,Cyb5a,45242.59047
HW,WW23,19,10,Cyp1a1,97071.52158
HW,WW23,19,10,Cyp1a2,485405.4854
HW,WW23,19,10,Cyp1b1,145.2282526
HW,WW24,19,10,Ahrr,18.59789888
HW,WW24,19,10,Aldh3a1,4321.354647
HW,WW24,19,10,Bbs2,75.72001686
HW,WW24,19,10,Ccbl1,684.1369945
HW,WW24,19,10,Cxcr7,33.21053371
HW,WW24,19,10,Col18a1,706.7201574
HW,WW24,19,10,Cyb5a,36168.92805
HW,WW24,19,10,Cyp1a1,64231.82904
HW,WW24,19,10,Cyp1a2,327386.7845
HW,WW24,19,10,Cyp1b1,455.6485225
HW,WW25,19,100,Ahrr,45.56782755
HW,WW25,19,100,Aldh3a1,12594.94753
HW,WW25,19,100,Bbs2,123.0331344
HW,WW25,19,100,Ccbl1,909.0781596
HW,WW25,19,100,Cxcr7,28.47989222
HW,WW25,19,100,Col18a1,1516.269462
HW,WW25,19,100,Cyb5a,34696.48309
HW,WW25,19,100,Cyp1a1,110375.5311
HW,WW25,19,100,Cyp1a2,567380.9696
HW,WW25,19,100,Cyp1b1,1528.800614
HW,WW26,19,100,Ahrr,33.06824394
HW,WW26,19,100,Aldh3a1,15527.04363
HW,WW26,19,100,Bbs2,83.17164384
HW,WW26,19,100,Ccbl1,702.4496667
HW,WW26,19,100,Cxcr7,25.05169995
HW,WW26,19,100,Col18a1,827.7081665
HW,WW26,19,100,Cyb5a,30708.3738
HW,WW26,19,100,Cyp1a1,85341.12106
HW,WW26,19,100,Cyp1a2,434634.9694
HW,WW26,19,100,Cyp1b1,902.8632663
HW,WW27,19,100,Ahrr,28.38203303
HW,WW27,19,100,Aldh3a1,14946.18132
HW,WW27,19,100,Bbs2,102.3780477
HW,WW27,19,100,Ccbl1,705.4962497
HW,WW27,19,100,Cxcr7,14.19101652
HW,WW27,19,100,Col18a1,1200.15454
HW,WW27,19,100,Cyb5a,28940.5509
HW,WW27,19,100,Cyp1a1,93229.91029
HW,WW27,19,100,Cyp1a2,581420.1377
HW,WW27,19,100,Cyp1b1,2807.793982
HW,WW28,19,100,Ahrr,41.44335265
HW,WW28,19,100,Aldh3a1,17468.37314
HW,WW28,19,100,Bbs2,152.3652671
HW,WW28,19,100,Ccbl1,1168.946329
HW,WW28,19,100,Cxcr7,52.41365188
HW,WW28,19,100,Col18a1,1705.272069
HW,WW28,19,100,Cyb5a,43110.83813
HW,WW28,19,100,Cyp1a1,124954.1461
HW,WW28,19,100,Cyp1a2,723692.3564
HW,WW28,19,100,Cyp1b1,1996.59446
HW,WW29,19,1000,Ahrr,31.51148315
HW,WW29,19,1000,Aldh3a1,8822.003303
HW,WW29,19,1000,Bbs2,111.5021712
HW,WW29,19,1000,Ccbl1,993.8236995
HW,WW29,19,1000,Cxcr7,39.995344
HW,WW29,19,1000,Col18a1,858.0819259
HW,WW29,19,1000,Cyb5a,36657.55075
HW,WW29,19,1000,Cyp1a1,85888.18328
HW,WW29,19,1000,Cyp1a2,423584.6284
HW,WW29,19,1000,Cyp1b1,673.8609475
HW,WW30,19,1000,Ahrr,26.37351614
HW,WW30,19,1000,Aldh3a1,7505.347463
HW,WW30,19,1000,Bbs2,94.3894262
HW,WW30,19,1000,Ccbl1,920.2969055
HW,WW30,19,1000,Cxcr7,41.64239391
HW,WW30,19,1000,Col18a1,827.2955591
HW,WW30,19,1000,Cyb5a,32628.20371
HW,WW30,19,1000,Cyp1a1,82457.49227
HW,WW30,19,1000,Cyp1a2,409856.9336
HW,WW30,19,1000,Cyp1b1,943.894262
HW,WW31,19,1000,Ahrr,31.18620157
HW,WW31,19,1000,Aldh3a1,19761.6564
HW,WW31,19,1000,Bbs2,93.55860472
HW,WW31,19,1000,Ccbl1,1113.607281
HW,WW31,19,1000,Cxcr7,57.17470288
HW,WW31,19,1000,Col18a1,879.7107693
HW,WW31,19,1000,Cyb5a,32538.90307
HW,WW31,19,1000,Cyp1a1,74544.11773
HW,WW31,19,1000,Cyp1a2,420167.7955
HW,WW31,19,1000,Cyp1b1,4910.527323
HW,WW32,19,1000,Ahrr,35.6104724
HW,WW32,19,1000,Aldh3a1,18780.74732
HW,WW32,19,1000,Bbs2,104.6732068
HW,WW32,19,1000,Ccbl1,878.3916526
